분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
654,경기도,군포시,광정동,2019-10,376775038,108371798,247.67
655,경기도,군포시,광정동,2019-11,350903863,376775038,-6.87
656,경기도,군포시,광정동,2019-12,597060177,350903863,70.15
657,경기도,군포시,광정동,2020-01,538634159,597060177,-9.79
658,경기도,군포시,광정동,2020-02,481699979,538634159,-10.57
659,경기도,군포시,광정동,2020-03,569934048,481699979,18.32
660,경기도,군포시,군포1동,2019-09,27687050,27687050,0.00
661,경기도,군포시,군포1동,2019-10,97533954,27687050,252.27
662,경기도,군포시,군포1동,2019-11,85579514,97533954,-12.26
663,경기도,군포시,군포1동,2019-12,154944079,85579514,81.05
664,경기도,군포시,군포1동,2020-01,136301847,154944079,-12.03
665,경기도,군포시,군포1동,2020-02,120034869,136301847,-11.93
666,경기도,군포시,군포1동,2020-03,148520216,120034869,23.73
667,경기도,군포시,군포2동,2019-09,54897637,54897637,0.00
668,경기도,군포시,군포2동,2019-10,186488997,54897637,239.70
669,경기도,군포시,군포2동,2019-11,167183117,186488997,-10.35
670,경기도,군포시,군포2동,2019-12,294637073,167183117,76.24
671,경기도,군포시,군포2동,2020-01,261284476,294637073,-11.32
672,경기도,군포시,군포2동,2020-02,227499638,261284476,-12.93
673,경기도,군포시,군포2동,2020-03,272436297,227499638,19.75
674,경기도,군포시,궁내동,2019-09,11373585,11373585,0.00
675,경기도,군포시,궁내동,2019-10,40203050,11373585,253.48
676,경기도,군포시,궁내동,2019-11,37803920,40203050,-5.97
677,경기도,군포시,궁내동,2019-12,72924233,37803920,92.90
678,경기도,군포시,궁내동,2020-01,59143044,72924233,-18.90
679,경기도,군포시,궁내동,2020-02,44787786,59143044,-24.27
680,경기도,군포시,궁내동,2020-03,53556103,44787786,19.58
681,경기도,군포시,금정동,2019-09,20167077,20167077,0.00
682,경기도,군포시,금정동,2019-10,76849382,20167077,281.06
683,경기도,군포시,금정동,2019-11,65510779,76849382,-14.75
684,경기도,군포시,금정동,2019-12,113299915,65510779,72.95
685,경기도,군포시,금정동,2020-01,98969093,113299915,-12.65
686,경기도,군포시,금정동,2020-02,86036666,98969093,-13.07
687,경기도,군포시,금정동,2020-03,104791126,86036666,21.80
688,경기도,군포시,대야동,2019-09,27582530,27582530,0.00
689,경기도,군포시,대야동,2019-10,91493925,27582530,231.71
690,경기도,군포시,대야동,2019-11,82588093,91493925,-9.73
691,경기도,군포시,대야동,2019-12,148386474,82588093,79.67
692,경기도,군포시,대야동,2020-01,129875986,148386474,-12.47
693,경기도,군포시,대야동,2020-02,123215251,129875986,-5.13
694,경기도,군포시,대야동,2020-03,132741922,123215251,7.73
695,경기도,군포시,산본1동,2019-09,26598477,26598477,0.00
696,경기도,군포시,산본1동,2019-10,96167013,26598477,261.55
697,경기도,군포시,산본1동,2019-11,93986616,96167013,-2.27
698,경기도,군포시,산본1동,2019-12,143336671,93986616,52.51
699,경기도,군포시,산본1동,2020-01,129529390,143336671,-9.63
700,경기도,군포시,산본1동,2020-02,106918231,129529390,-17.46
701,경기도,군포시,산본1동,2020-03,128474000,106918231,20.16
702,경기도,군포시,산본2동,2019-09,61894599,61894599,0.00
703,경기도,군포시,산본2동,2019-10,224653775,61894599,262.96
704,경기도,군포시,산본2동,2019-11,197846515,224653775,-11.93
705,경기도,군포시,산본2동,2019-12,329080160,197846515,66.33
706,경기도,군포시,산본2동,2020-01,307813565,329080160,-6.46
707,경기도,군포시,산본2동,2020-02,281885518,307813565,-8.42
708,경기도,군포시,산본2동,2020-03,347038580,281885518,23.11
709,경기도,군포시,수리동,2019-09,11434360,11434360,0.00
710,경기도,군포시,수리동,2019-10,41982560,11434360,267.16
711,경기도,군포시,수리동,2019-11,37021460,41982560,-11.82
712,경기도,군포시,수리동,2019-12,67936716,37021460,83.51
713,경기도,군포시,수리동,2020-01,55104320,67936716,-18.89
714,경기도,군포시,수리동,2020-02,49740065,55104320,-9.73
715,경기도,군포시,수리동,2020-03,63199770,49740065,27.06
716,경기도,군포시,오금동,2019-09,9395880,9395880,0.00
717,경기도,군포시,오금동,2019-10,29309833,9395880,211.94
718,경기도,군포시,오금동,2019-11,29358710,29309833,0.17
719,경기도,군포시,오금동,2019-12,42555650,29358710,44.95
720,경기도,군포시,오금동,2020-01,39707480,42555650,-6.69
721,경기도,군포시,오금동,2020-02,37938100,39707480,-4.46
722,경기도,군포시,오금동,2020-03,41166272,37938100,8.51
723,경기도,군포시,재궁동,2019-09,13251370,13251370,0.00
724,경기도,군포시,재궁동,2019-10,45978896,13251370,246.97
725,경기도,군포시,재궁동,2019-11,50111490,45978896,8.99
726,경기도,군포시,재궁동,2019-12,79336438,50111490,58.32
727,경기도,군포시,재궁동,2020-01,60085279,79336438,-24.27
728,경기도,군포시,재궁동,2020-02,56598124,60085279,-5.80
729,경기도,군포시,재궁동,2020-03,62057235,56598124,9.65
730,경기도,김포시,고촌읍,2019-11,94000,94000,0.00
731,경기도,남양주시,금곡동,2019-09,6950820,6950820,0.00
732,경기도,남양주시,금곡동,2019-10,31903590,6950820,358.99
733,경기도,남양주시,금곡동,2019-11,35811000,31903590,12.25
734,경기도,남양주시,금곡동,2019-12,50340389,35811000,40.57
735,경기도,남양주시,금곡동,2020-01,45391296,50340389,-9.83
736,경기도,남양주시,금곡동,2020-02,51186389,45391296,12.77
737,경기도,남양주시,금곡동,2020-03,54367494,51186389,6.21
738,경기도,남양주시,다산1동,2019-09,33005310,33005310,0.00
739,경기도,남양주시,다산1동,2019-10,140289608,33005310,325.05
740,경기도,남양주시,다산1동,2019-11,156492464,140289608,11.55
741,경기도,남양주시,다산1동,2019-12,244804669,156492464,56.43
742,경기도,남양주시,다산1동,2020-01,219546986,244804669,-10.32
743,경기도,남양주시,다산1동,2020-02,232243382,219546986,5.78
744,경기도,남양주시,다산1동,2020-03,281706920,232243382,21.30
745,경기도,남양주시,다산2동,2019-09,12901454,12901454,0.00
746,경기도,남양주시,다산2동,2019-10,57229754,12901454,343.59
747,경기도,남양주시,다산2동,2019-11,68024130,57229754,18.86
748,경기도,남양주시,다산2동,2019-12,108290084,68024130,59.19
749,경기도,남양주시,다산2동,2020-01,93057620,108290084,-14.07
750,경기도,남양주시,다산2동,2020-02,104592533,93057620,12.40
751,경기도,남양주시,다산2동,2020-03,123539369,104592533,18.11
752,경기도,남양주시,별내동,2019-09,20040700,20040700,0.00
753,경기도,남양주시,별내동,2019-10,75030350,20040700,274.39
754,경기도,남양주시,별내동,2019-11,89581796,75030350,19.39
755,경기도,남양주시,별내동,2019-12,128863932,89581796,43.85
756,경기도,남양주시,별내동,2020-01,120226050,128863932,-6.70
757,경기도,남양주시,별내동,2020-02,128601236,120226050,6.97
758,경기도,남양주시,별내동,2020-03,165664260,128601236,28.82
759,경기도,남양주시,별내면,2019-09,5010411,5010411,0.00
760,경기도,남양주시,별내면,2019-10,25787680,5010411,414.68
761,경기도,남양주시,별내면,2019-11,29310169,25787680,13.66
762,경기도,남양주시,별내면,2019-12,43334381,29310169,47.85
763,경기도,남양주시,별내면,2020-01,40059110,43334381,-7.56
764,경기도,남양주시,별내면,2020-02,45375754,40059110,13.27
765,경기도,남양주시,별내면,2020-03,48269639,45375754,6.38
766,경기도,남양주시,수동면,2019-09,965620,965620,0.00
767,경기도,남양주시,수동면,2019-10,2993480,965620,210.01
768,경기도,남양주시,수동면,2019-11,3412730,2993480,14.01
769,경기도,남양주시,수동면,2019-12,5414260,3412730,58.65
770,경기도,남양주시,수동면,2020-01,3579750,5414260,-33.88
771,경기도,남양주시,수동면,2020-02,4443540,3579750,24.13
772,경기도,남양주시,수동면,2020-03,6567810,4443540,47.81
773,경기도,남양주시,수택1동,2019-09,40000,40000,0.00
774,경기도,남양주시,수택1동,2019-10,1222400,40000,2956.00
775,경기도,남양주시,수택1동,2019-11,1079100,1222400,-11.72
776,경기도,남양주시,수택1동,2019-12,1843000,1079100,70.79
777,경기도,남양주시,수택1동,2020-01,928200,1843000,-49.64
778,경기도,남양주시,수택1동,2020-02,1089100,928200,17.33
779,경기도,남양주시,수택1동,2020-03,1217650,1089100,11.80
780,경기도,남양주시,양정동,2019-09,3402240,3402240,0.00
781,경기도,남양주시,양정동,2019-10,21039754,3402240,518.41
782,경기도,남양주시,양정동,2019-11,22356470,21039754,6.26
783,경기도,남양주시,양정동,2019-12,21776810,22356470,-2.59
784,경기도,남양주시,양정동,2020-01,19533760,21776810,-10.30
785,경기도,남양주시,양정동,2020-02,17123790,19533760,-12.34
786,경기도,남양주시,양정동,2020-03,25811650,17123790,50.74
787,경기도,남양주시,오남읍,2019-09,12589815,12589815,0.00
788,경기도,남양주시,오남읍,2019-10,42471950,12589815,237.35
789,경기도,남양주시,오남읍,2019-11,45525732,42471950,7.19
790,경기도,남양주시,오남읍,2019-12,73876417,45525732,62.27
791,경기도,남양주시,오남읍,2020-01,66543399,73876417,-9.93
792,경기도,남양주시,오남읍,2020-02,72473061,66543399,8.91
793,경기도,남양주시,오남읍,2020-03,80085239,72473061,10.50
794,경기도,남양주시,와부읍,2019-09,19642520,19642520,0.00
795,경기도,남양주시,와부읍,2019-10,80020942,19642520,307.39
796,경기도,남양주시,와부읍,2019-11,98246446,80020942,22.78
797,경기도,남양주시,와부읍,2019-12,155100082,98246446,57.87
798,경기도,남양주시,와부읍,2020-01,158277343,155100082,2.05
799,경기도,남양주시,와부읍,2020-02,167503702,158277343,5.83
800,경기도,남양주시,와부읍,2020-03,198910530,167503702,18.75
801,경기도,남양주시,조안면,2019-09,531550,531550,0.00
802,경기도,남양주시,조안면,2019-10,2483360,531550,367.19
803,경기도,남양주시,조안면,2019-11,2159000,2483360,-13.06
804,경기도,남양주시,조안면,2019-12,2090200,2159000,-3.19
805,경기도,남양주시,조안면,2020-01,2537400,2090200,21.40
806,경기도,남양주시,조안면,2020-02,2425150,2537400,-4.42
807,경기도,남양주시,조안면,2020-03,5568200,2425150,129.60
808,경기도,남양주시,진건읍,2019-09,4901850,4901850,0.00
809,경기도,남양주시,진건읍,2019-10,21035980,4901850,329.14
810,경기도,남양주시,진건읍,2019-11,22293421,21035980,5.98
811,경기도,남양주시,진건읍,2019-12,33683964,22293421,51.09
812,경기도,남양주시,진건읍,2020-01,26326070,33683964,-21.84
813,경기도,남양주시,진건읍,2020-02,33093936,26326070,25.71
814,경기도,남양주시,진건읍,2020-03,41543214,33093936,25.53
815,경기도,남양주시,진접읍,2019-09,21351520,21351520,0.00
816,경기도,남양주시,진접읍,2019-10,98577719,21351520,361.69
817,경기도,남양주시,진접읍,2019-11,104483624,98577719,5.99
818,경기도,남양주시,진접읍,2019-12,171830845,104483624,64.46
819,경기도,남양주시,진접읍,2020-01,163113768,171830845,-5.07
820,경기도,남양주시,진접읍,2020-02,175010383,163113768,7.29
821,경기도,남양주시,진접읍,2020-03,175925454,175010383,0.52
822,경기도,남양주시,퇴계원읍,2019-09,9879860,9879860,0.00
823,경기도,남양주시,퇴계원읍,2019-10,39449275,9879860,299.29
824,경기도,남양주시,퇴계원읍,2019-11,42937260,39449275,8.84
825,경기도,남양주시,퇴계원읍,2019-12,66015450,42937260,53.75
826,경기도,남양주시,퇴계원읍,2020-01,62067884,66015450,-5.98
827,경기도,남양주시,퇴계원읍,2020-02,62204002,62067884,0.22
828,경기도,남양주시,퇴계원읍,2020-03,73857440,62204002,18.73
829,경기도,남양주시,평내동,2019-09,27776507,27776507,0.00
830,경기도,남양주시,평내동,2019-10,112940977,27776507,306.61
831,경기도,남양주시,평내동,2019-11,116984240,112940977,3.58
832,경기도,남양주시,평내동,2019-12,182832210,116984240,56.29
833,경기도,남양주시,평내동,2020-01,160471689,182832210,-12.23
834,경기도,남양주시,평내동,2020-02,162227880,160471689,1.09
835,경기도,남양주시,평내동,2020-03,168024433,162227880,3.57
836,경기도,남양주시,호평동,2019-09,25269877,25269877,0.00
837,경기도,남양주시,호평동,2019-10,96158577,25269877,280.53
838,경기도,남양주시,호평동,2019-11,107610174,96158577,11.91
839,경기도,남양주시,호평동,2019-12,158289430,107610174,47.10
840,경기도,남양주시,호평동,2020-01,136073789,158289430,-14.03
841,경기도,남양주시,호평동,2020-02,144451267,136073789,6.16
842,경기도,남양주시,호평동,2020-03,141479543,144451267,-2.06
843,경기도,남양주시,화도읍,2019-09,24852990,24852990,0.00
844,경기도,남양주시,화도읍,2019-10,102584641,24852990,312.77
845,경기도,남양주시,화도읍,2019-11,120305802,102584641,17.27
846,경기도,남양주시,화도읍,2019-12,186247931,120305802,54.81
847,경기도,남양주시,화도읍,2020-01,163883170,186247931,-12.01
848,경기도,남양주시,화도읍,2020-02,181885385,163883170,10.98
849,경기도,남양주시,화도읍,2020-03,207374470,181885385,14.01
850,경기도,남양주시,화도읍동부출장소,2019-09,3190840,3190840,0.00
851,경기도,남양주시,화도읍동부출장소,2019-10,8771580,3190840,174.90
852,경기도,남양주시,화도읍동부출장소,2019-11,10374110,8771580,18.27
853,경기도,남양주시,화도읍동부출장소,2019-12,15826620,10374110,52.56
854,경기도,남양주시,화도읍동부출장소,2020-01,14881420,15826620,-5.97
855,경기도,남양주시,화도읍동부출장소,2020-02,16270096,14881420,9.33
856,경기도,남양주시,화도읍동부출장소,2020-03,21097172,16270096,29.67
857,경기도,동두천시,보산동,2019-09,736020,736020,0.00
858,경기도,동두천시,보산동,2019-10,3798740,736020,416.12
859,경기도,동두천시,보산동,2019-11,3700480,3798740,-2.59
860,경기도,동두천시,보산동,2019-12,4659376,3700480,25.91
861,경기도,동두천시,보산동,2020-01,4981240,4659376,6.91
862,경기도,동두천시,보산동,2020-02,6505240,4981240,30.59
863,경기도,동두천시,보산동,2020-03,7698670,6505240,18.35
864,경기도,동두천시,불현동,2019-09,6910615,6910615,0.00
865,경기도,동두천시,불현동,2019-10,23946088,6910615,246.51
866,경기도,동두천시,불현동,2019-11,25112423,23946088,4.87
867,경기도,동두천시,불현동,2019-12,37120077,25112423,47.82
868,경기도,동두천시,불현동,2020-01,31426536,37120077,-15.34
869,경기도,동두천시,불현동,2020-02,33631618,31426536,7.02
870,경기도,동두천시,불현동,2020-03,44227602,33631618,31.51
871,경기도,동두천시,상패동,2019-09,135210,135210,0.00
872,경기도,동두천시,상패동,2019-10,1152540,135210,752.41
873,경기도,동두천시,상패동,2019-11,1825180,1152540,58.36
874,경기도,동두천시,상패동,2019-12,2759620,1825180,51.20
875,경기도,동두천시,상패동,2020-01,3348620,2759620,21.34
876,경기도,동두천시,상패동,2020-02,3135640,3348620,-6.36
877,경기도,동두천시,상패동,2020-03,4077910,3135640,30.05
878,경기도,동두천시,생연1동,2019-09,1565290,1565290,0.00
879,경기도,동두천시,생연1동,2019-10,6827270,1565290,336.17
880,경기도,동두천시,생연1동,2019-11,6148660,6827270,-9.94
881,경기도,동두천시,생연1동,2019-12,8964650,6148660,45.80
882,경기도,동두천시,생연1동,2020-01,10976290,8964650,22.44
883,경기도,동두천시,생연1동,2020-02,11195560,10976290,2.00
884,경기도,동두천시,생연1동,2020-03,13658740,11195560,22.00
885,경기도,동두천시,생연2동,2019-09,3619280,3619280,0.00
886,경기도,동두천시,생연2동,2019-10,15157150,3619280,318.79
887,경기도,동두천시,생연2동,2019-11,17778174,15157150,17.29
888,경기도,동두천시,생연2동,2019-12,20562320,17778174,15.66
889,경기도,동두천시,생연2동,2020-01,18601980,20562320,-9.53
890,경기도,동두천시,생연2동,2020-02,20125140,18601980,8.19
891,경기도,동두천시,생연2동,2020-03,25004700,20125140,24.25
892,경기도,동두천시,소요동,2019-09,687804,687804,0.00
893,경기도,동두천시,소요동,2019-10,3313381,687804,381.73
894,경기도,동두천시,소요동,2019-11,3425223,3313381,3.38
895,경기도,동두천시,소요동,2019-12,4493054,3425223,31.18
896,경기도,동두천시,소요동,2020-01,3642130,4493054,-18.94
897,경기도,동두천시,소요동,2020-02,5639320,3642130,54.84
898,경기도,동두천시,소요동,2020-03,7846690,5639320,39.14
899,경기도,동두천시,송내동,2019-09,11280470,11280470,0.00
900,경기도,동두천시,송내동,2019-10,50559360,11280470,348.20
901,경기도,동두천시,송내동,2019-11,53362840,50559360,5.54
902,경기도,동두천시,송내동,2019-12,75638370,53362840,41.74
903,경기도,동두천시,송내동,2020-01,67976196,75638370,-10.13
904,경기도,동두천시,송내동,2020-02,75502070,67976196,11.07
905,경기도,동두천시,송내동,2020-03,79815730,75502070,5.71
906,경기도,동두천시,중앙동,2019-09,2567030,2567030,0.00
907,경기도,동두천시,중앙동,2019-10,11853930,2567030,361.78
908,경기도,동두천시,중앙동,2019-11,15445480,11853930,30.30
909,경기도,동두천시,중앙동,2019-12,16825420,15445480,8.93
910,경기도,동두천시,중앙동,2020-01,15907420,16825420,-5.46
911,경기도,동두천시,중앙동,2020-02,18021720,15907420,13.29
912,경기도,동두천시,중앙동,2020-03,22074651,18021720,22.49
913,경기도,부천시,대산동,2019-09,52759690,52759690,0.00
914,경기도,부천시,대산동,2019-10,177442666,52759690,236.32
915,경기도,부천시,대산동,2019-11,161314252,177442666,-9.09
916,경기도,부천시,대산동,2019-12,195907874,161314252,21.44
917,경기도,부천시,대산동,2020-01,221657051,195907874,13.14
918,경기도,부천시,대산동,2020-02,197557732,221657051,-10.87
919,경기도,부천시,대산동,2020-03,253069845,197557732,28.10
920,경기도,부천시,범안동,2019-09,71022372,71022372,0.00
921,경기도,부천시,범안동,2019-10,213296056,71022372,200.32
922,경기도,부천시,범안동,2019-11,191834867,213296056,-10.06
923,경기도,부천시,범안동,2019-12,252626986,191834867,31.69
924,경기도,부천시,범안동,2020-01,300477429,252626986,18.94
925,경기도,부천시,범안동,2020-02,278512696,300477429,-7.31
926,경기도,부천시,범안동,2020-03,332857446,278512696,19.51
927,경기도,부천시,부천동,2019-09,63858860,63858860,0.00
928,경기도,부천시,부천동,2019-10,240621652,63858860,276.80
929,경기도,부천시,부천동,2019-11,206677866,240621652,-14.11
930,경기도,부천시,부천동,2019-12,256406387,206677866,24.06
931,경기도,부천시,부천동,2020-01,296570685,256406387,15.66
932,경기도,부천시,부천동,2020-02,272309568,296570685,-8.18
933,경기도,부천시,부천동,2020-03,350885417,272309568,28.86
934,경기도,부천시,상동,2019-09,130492643,130492643,0.00
935,경기도,부천시,상동,2019-10,415106768,130492643,218.11
936,경기도,부천시,상동,2019-11,367326276,415106768,-11.51
937,경기도,부천시,상동,2019-12,466994529,367326276,27.13
938,경기도,부천시,상동,2020-01,489754063,466994529,4.87
939,경기도,부천시,상동,2020-02,467404881,489754063,-4.56
940,경기도,부천시,상동,2020-03,583942237,467404881,24.93
941,경기도,부천시,성곡동,2019-09,33895806,33895806,0.00
942,경기도,부천시,성곡동,2019-10,112802535,33895806,232.79
943,경기도,부천시,성곡동,2019-11,103800410,112802535,-7.98
944,경기도,부천시,성곡동,2019-12,137883945,103800410,32.84
945,경기도,부천시,성곡동,2020-01,152787190,137883945,10.81
946,경기도,부천시,성곡동,2020-02,142970922,152787190,-6.42
947,경기도,부천시,성곡동,2020-03,176825713,142970922,23.68
948,경기도,부천시,소사본동,2019-09,36392704,36392704,0.00
949,경기도,부천시,소사본동,2019-10,108394822,36392704,197.85
950,경기도,부천시,소사본동,2019-11,95342350,108394822,-12.04
951,경기도,부천시,소사본동,2019-12,119298918,95342350,25.13
952,경기도,부천시,소사본동,2020-01,137509605,119298918,15.26
953,경기도,부천시,소사본동,2020-02,115946029,137509605,-15.68
954,경기도,부천시,소사본동,2020-03,147587519,115946029,27.29
955,경기도,부천시,신중동,2019-09,130380422,130380422,0.00
956,경기도,부천시,신중동,2019-10,406315297,130380422,211.64
957,경기도,부천시,신중동,2019-11,358540215,406315297,-11.76
958,경기도,부천시,신중동,2019-12,456128475,358540215,27.22
959,경기도,부천시,신중동,2020-01,488392583,456128475,7.07
960,경기도,부천시,신중동,2020-02,439404282,488392583,-10.03
961,경기도,부천시,신중동,2020-03,588512209,439404282,33.93
962,경기도,부천시,심곡동,2019-09,46750820,46750820,0.00
963,경기도,부천시,심곡동,2019-10,158793169,46750820,239.66
964,경기도,부천시,심곡동,2019-11,147997744,158793169,-6.80
965,경기도,부천시,심곡동,2019-12,185268788,147997744,25.18
966,경기도,부천시,심곡동,2020-01,203587284,185268788,9.89
967,경기도,부천시,심곡동,2020-02,188512096,203587284,-7.40
968,경기도,부천시,심곡동,2020-03,255482690,188512096,35.53
969,경기도,부천시,오정동,2019-09,44803424,44803424,0.00
970,경기도,부천시,오정동,2019-10,156050578,44803424,248.30
971,경기도,부천시,오정동,2019-11,146528117,156050578,-6.10
972,경기도,부천시,오정동,2019-12,168016157,146528117,14.66
973,경기도,부천시,오정동,2020-01,191991752,168016157,14.27
974,경기도,부천시,오정동,2020-02,172791136,191991752,-10.00
975,경기도,부천시,오정동,2020-03,212970403,172791136,23.25
976,경기도,부천시,중동,2019-09,50170538,50170538,0.00
977,경기도,부천시,중동,2019-10,170594346,50170538,240.03
978,경기도,부천시,중동,2019-11,161976446,170594346,-5.05
979,경기도,부천시,중동,2019-12,193323811,161976446,19.35
980,경기도,부천시,중동,2020-01,229849851,193323811,18.89
981,경기도,부천시,중동,2020-02,189633777,229849851,-17.50
982,경기도,부천시,중동,2020-03,261719742,189633777,38.01
983,경기도,성남시 분당구,분당동,2019-10,3300,3300,0.00
984,경기도,성남시 분당구,분당동,2019-11,14800,3300,348.48
985,경기도,성남시 수정구,태평2동,2020-02,12000,12000,0.00
986,경기도,성남시 수정구,태평2동,2020-03,81000,12000,575.00
987,경기도,성남시 중원구,성남동,2019-12,190000,190000,0.00
988,경기도,성남시 중원구,성남동,2020-02,335000,190000,76.32
989,경기도,수원시 권선구,곡선동,2019-09,6985640,6985640,0.00
990,경기도,수원시 권선구,곡선동,2019-10,31577050,6985640,352.03
991,경기도,수원시 권선구,곡선동,2019-11,29325599,31577050,-7.13
992,경기도,수원시 권선구,곡선동,2019-12,39233546,29325599,33.79
993,경기도,수원시 권선구,곡선동,2020-01,34608939,39233546,-11.79
994,경기도,수원시 권선구,곡선동,2020-02,43081724,34608939,24.48
995,경기도,수원시 권선구,곡선동,2020-03,63772470,43081724,48.03
996,경기도,수원시 권선구,구운동,2019-09,2767825,2767825,0.00
997,경기도,수원시 권선구,구운동,2019-10,14123672,2767825,410.28
998,경기도,수원시 권선구,구운동,2019-11,13507822,14123672,-4.36
999,경기도,수원시 권선구,구운동,2019-12,17565722,13507822,30.04
1000,경기도,수원시 권선구,구운동,2020-01,19226199,17565722,9.45
1001,경기도,수원시 권선구,구운동,2020-02,19917707,19226199,3.60
1002,경기도,수원시 권선구,구운동,2020-03,30168512,19917707,51.47
1003,경기도,수원시 권선구,권선1동,2019-09,15170070,15170070,0.00
1004,경기도,수원시 권선구,권선1동,2019-10,43747574,15170070,188.38
1005,경기도,수원시 권선구,권선1동,2019-11,45057970,43747574,3.00
1006,경기도,수원시 권선구,권선1동,2019-12,49919888,45057970,10.79
1007,경기도,수원시 권선구,권선1동,2020-01,40193786,49919888,-19.48
1008,경기도,수원시 권선구,권선1동,2020-02,43906560,40193786,9.24
1009,경기도,수원시 권선구,권선1동,2020-03,70120201,43906560,59.70
1010,경기도,수원시 권선구,권선2동,2019-09,8858780,8858780,0.00
1011,경기도,수원시 권선구,권선2동,2019-10,29046770,8858780,227.89
1012,경기도,수원시 권선구,권선2동,2019-11,27787580,29046770,-4.34
1013,경기도,수원시 권선구,권선2동,2019-12,32375560,27787580,16.51
1014,경기도,수원시 권선구,권선2동,2020-01,31788670,32375560,-1.81
1015,경기도,수원시 권선구,권선2동,2020-02,39280870,31788670,23.57
1016,경기도,수원시 권선구,권선2동,2020-03,59254883,39280870,50.85
1017,경기도,수원시 권선구,금곡동,2019-09,16826346,16826346,0.00
1018,경기도,수원시 권선구,금곡동,2019-10,66907338,16826346,297.63
1019,경기도,수원시 권선구,금곡동,2019-11,59478490,66907338,-11.10
1020,경기도,수원시 권선구,금곡동,2019-12,78532410,59478490,32.03
1021,경기도,수원시 권선구,금곡동,2020-01,69734670,78532410,-11.20
1022,경기도,수원시 권선구,금곡동,2020-02,92341330,69734670,32.42
1023,경기도,수원시 권선구,금곡동,2020-03,131561388,92341330,42.47
1024,경기도,수원시 권선구,서둔동,2019-09,5057392,5057392,0.00
1025,경기도,수원시 권선구,서둔동,2019-10,19524469,5057392,286.06
1026,경기도,수원시 권선구,서둔동,2019-11,20436870,19524469,4.67
1027,경기도,수원시 권선구,서둔동,2019-12,24777725,20436870,21.24
1028,경기도,수원시 권선구,서둔동,2020-01,23041785,24777725,-7.01
1029,경기도,수원시 권선구,서둔동,2020-02,26007135,23041785,12.87
1030,경기도,수원시 권선구,서둔동,2020-03,44480046,26007135,71.03
1031,경기도,수원시 권선구,세류1동,2019-09,2622720,2622720,0.00
1032,경기도,수원시 권선구,세류1동,2019-10,10664380,2622720,306.62
1033,경기도,수원시 권선구,세류1동,2019-11,9980980,10664380,-6.41
1034,경기도,수원시 권선구,세류1동,2019-12,14303940,9980980,43.31
1035,경기도,수원시 권선구,세류1동,2020-01,13825535,14303940,-3.34
1036,경기도,수원시 권선구,세류1동,2020-02,13434510,13825535,-2.83
1037,경기도,수원시 권선구,세류1동,2020-03,19041450,13434510,41.74
1038,경기도,수원시 권선구,세류2동,2019-09,2517950,2517950,0.00
1039,경기도,수원시 권선구,세류2동,2019-10,9923760,2517950,294.12
1040,경기도,수원시 권선구,세류2동,2019-11,6761940,9923760,-31.86
1041,경기도,수원시 권선구,세류2동,2019-12,9219090,6761940,36.34
1042,경기도,수원시 권선구,세류2동,2020-01,8664120,9219090,-6.02
1043,경기도,수원시 권선구,세류2동,2020-02,9977930,8664120,15.16
1044,경기도,수원시 권선구,세류2동,2020-03,14737790,9977930,47.70
1045,경기도,수원시 권선구,세류3동,2019-09,1193220,1193220,0.00
1046,경기도,수원시 권선구,세류3동,2019-10,6489550,1193220,443.87
1047,경기도,수원시 권선구,세류3동,2019-11,6710410,6489550,3.40
1048,경기도,수원시 권선구,세류3동,2019-12,8139880,6710410,21.30
1049,경기도,수원시 권선구,세류3동,2020-01,9157040,8139880,12.50
1050,경기도,수원시 권선구,세류3동,2020-02,8617935,9157040,-5.89
1051,경기도,수원시 권선구,세류3동,2020-03,14003485,8617935,62.49
1052,경기도,수원시 권선구,입북동,2019-09,2483984,2483984,0.00
1053,경기도,수원시 권선구,입북동,2019-10,7727199,2483984,211.08
1054,경기도,수원시 권선구,입북동,2019-11,7372459,7727199,-4.59
1055,경기도,수원시 권선구,입북동,2019-12,10954068,7372459,48.58
1056,경기도,수원시 권선구,입북동,2020-01,11715250,10954068,6.95
1057,경기도,수원시 권선구,입북동,2020-02,11557728,11715250,-1.34
1058,경기도,수원시 권선구,입북동,2020-03,19297673,11557728,66.97
1059,경기도,수원시 권선구,평동,2019-09,5580371,5580371,0.00
1060,경기도,수원시 권선구,평동,2019-10,28635737,5580371,413.15
1061,경기도,수원시 권선구,평동,2019-11,24174916,28635737,-15.58
1062,경기도,수원시 권선구,평동,2019-12,28841456,24174916,19.30
1063,경기도,수원시 권선구,평동,2020-01,27890545,28841456,-3.30
1064,경기도,수원시 권선구,평동,2020-02,34974848,27890545,25.40
1065,경기도,수원시 권선구,평동,2020-03,57199077,34974848,63.54
1066,경기도,수원시 권선구,호매실동,2019-09,8975380,8975380,0.00
1067,경기도,수원시 권선구,호매실동,2019-10,33144124,8975380,269.28
1068,경기도,수원시 권선구,호매실동,2019-11,31457831,33144124,-5.09
1069,경기도,수원시 권선구,호매실동,2019-12,39302713,31457831,24.94
1070,경기도,수원시 권선구,호매실동,2020-01,47918324,39302713,21.92
1071,경기도,수원시 권선구,호매실동,2020-02,51205565,47918324,6.86
1072,경기도,수원시 권선구,호매실동,2020-03,94575613,51205565,84.70
