분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
83,경기도,고양시 덕양구,삼송동,2020-01,124788018,115988015,7.59
84,경기도,고양시 덕양구,삼송동,2020-02,122647201,124788018,-1.72
85,경기도,고양시 덕양구,삼송동,2020-03,132255467,122647201,7.83
86,경기도,고양시 덕양구,성사1동,2019-09,26580529,26580529,0.00
87,경기도,고양시 덕양구,성사1동,2019-10,85715854,26580529,222.48
88,경기도,고양시 덕양구,성사1동,2019-11,77158718,85715854,-9.98
89,경기도,고양시 덕양구,성사1동,2019-12,134584905,77158718,74.43
90,경기도,고양시 덕양구,성사1동,2020-01,125224623,134584905,-6.95
91,경기도,고양시 덕양구,성사1동,2020-02,132261252,125224623,5.62
92,경기도,고양시 덕양구,성사1동,2020-03,135453535,132261252,2.41
93,경기도,고양시 덕양구,성사2동,2019-09,5717960,5717960,0.00
94,경기도,고양시 덕양구,성사2동,2019-10,16635020,5717960,190.93
95,경기도,고양시 덕양구,성사2동,2019-11,15173635,16635020,-8.78
96,경기도,고양시 덕양구,성사2동,2019-12,26635797,15173635,75.54
97,경기도,고양시 덕양구,성사2동,2020-01,24512785,26635797,-7.97
98,경기도,고양시 덕양구,성사2동,2020-02,23259270,24512785,-5.11
99,경기도,고양시 덕양구,성사2동,2020-03,24044300,23259270,3.38
100,경기도,고양시 덕양구,원신동,2019-09,22919710,22919710,0.00
101,경기도,고양시 덕양구,원신동,2019-10,67008400,22919710,192.36
102,경기도,고양시 덕양구,원신동,2019-11,61621190,67008400,-8.04
103,경기도,고양시 덕양구,원신동,2019-12,117847968,61621190,91.25
104,경기도,고양시 덕양구,원신동,2020-01,105774288,117847968,-10.25
105,경기도,고양시 덕양구,원신동,2020-02,103423350,105774288,-2.22
106,경기도,고양시 덕양구,원신동,2020-03,100011655,103423350,-3.30
107,경기도,고양시 덕양구,주교동,2019-09,9779723,9779723,0.00
108,경기도,고양시 덕양구,주교동,2019-10,33753375,9779723,245.14
109,경기도,고양시 덕양구,주교동,2019-11,31835440,33753375,-5.68
110,경기도,고양시 덕양구,주교동,2019-12,44701489,31835440,40.41
111,경기도,고양시 덕양구,주교동,2020-01,38931306,44701489,-12.91
112,경기도,고양시 덕양구,주교동,2020-02,48605610,38931306,24.85
113,경기도,고양시 덕양구,주교동,2020-03,47007480,48605610,-3.29
114,경기도,고양시 덕양구,창릉동,2019-09,25952520,25952520,0.00
